Sum of Female(Individuals Vaccinated),Sum of First Dose Administered,Sum of Male(Individuals Vaccinated),Sum of Second Dose Administered,State,Sum of Total Covaxin Administered,Sum of Total CoviShield Administered,Sum of Total Doses Administered,Sum of Total Individuals Registered,Sum of Total Individuals Vaccinated,Sum of Total Sessions Conducted,Sum of Total Sites ,Sum of Transgender(Individuals Vaccinated),Updated On
2500887,3825835,1324273,0,India,86001,3739834,3825835,10690308,3825835,116568,31167,675,03/02/2021
5692550,12553326,6859318,2830557,India,1307164,11246162,15383883,19150389,12553326,533253,54700,1458,03/03/2021
27522710,58219233,30690586,9300230,India,5127633,53091600,67519463,65428610,58219233,2922034,124323,5937,03/04/2021
2809042,4314304,1504527,0,India,99015,4215289,4314304,11080747,4314304,126714,32505,735,04/02/2021
6045211,13393538,7346850,3142165,India,1345443,12048095,16535703,19931471,13393538,613748,57418,1477,04/03/2021
31665721,66838504,35165269,9567193,India,6880699,69524997,76405697,66838504,66838504,6779834,43542,7514,04/04/2021
3054631,4765924,1710466,0,India,133911,4632013,4765924,11532388,4765924,137110,33947,827,05/02/2021
6490255,14415912,7924084,3455761,India,1386898,13029014,17871673,20921920,14415912,714806,59064,1573,05/03/2021
33052869,69620234,36559511,9819655,India,7162657,72277231,79439889,69620234,69620234,9947093,64960,7854,05/04/2021
3214244,5111827,1896705,0,India,195504,4916323,5111827,11994578,5111827,145121,34814,878,06/02/2021
6948195,15438495,8488627,3732333,India,1434272,14004223,19170828,21888014,15438495,802800,60930,1673,06/03/2021
34255180,72035640,37772299,10029697,India,7419434,74645902,82065337,72035640,72035640,9341151,61096,8161,06/04/2021
3238273,5168099,1928947,0,India,206130,4961969,5168099,12215616,5168099,153231,35778,879,07/02/2021
6993867,15541529,8545982,3747137,India,1440857,14100672,19288666,21983612,15541529,862720,63187,1680,07/03/2021
36552499,76671812,40110598,10428815,India,7832533,79268093,87100627,76671812,76671812,8870978,58826,8715,07/04/2021
3403576,5615499,2211020,0,India,290785,5324714,5615499,12607193,5615499,164116,36740,903,08/02/2021
7676312,16976138,9298005,4062362,India,1495593,15480545,21038500,23420779,16976138,923939,64854,1821,08/03/2021
38715200,80998099,42273620,10883431,India,8167587,83713942,91881530,80998099,80998099,9913258,65506,9279,08/04/2021
3543208,6002474,2458329,0,India,363692,5638782,6002474,12968689,6002474,175556,38131,937,09/02/2021
8132238,17984381,9850241,4372951,India,1557829,16426552,22357332,24428427,17984381,1017231,66317,1902,09/03/2021
40357259,84296847,43929844,11286572,India,8425992,87157426,95583419,84296847,84296847,9969009,65714,9744,09/04/2021
3676114,6462270,2785194,0,India,480760,5981510,6462270,13358469,6462270,187224,39339,962,10/02/2021
8568586,18944399,10373816,4687288,India,1611479,17332920,23631687,25362949,18944399,1149363,68620,1997,10/03/2021
41893575,87411872,45508111,11657482,India,8678151,90391202,99069354,87411872,87411872,8710763,58594,10186,10/04/2021
3803908,6958553,3153649,0,India,609108,6349445,6958553,13831942,6958553,197650,40332,996,11/02/2021
8691411,19213642,10520212,4749703,India,1628133,17585509,23963345,25600158,19213642,1208555,70188,2019,11/03/2021
43205152,90111528,46895781,11888873,India,8865852,93134548,102000401,90111528,90111528,9729980,63648,10595,11/04/2021
3918381,7423817,3504429,0,India,740517,6683300,7423817,14353766,7423817,207633,40799,1007,12/02/2021
9372137,20727869,11353590,5160291,India,1710492,19017377,25888160,27120195,20727869,1294146,71977,2142,12/03/2021
44878560,93559587,48669828,12410952,India,9117558,96852980,105970539,93559587,93559587,10664088,71554,11199,12/04/2021
4002279,7687352,3684053,20859,India,781304,6906048,7708211,14777965,7687352,216559,41308,1020,13/02/2021
9913759,21883802,11967845,5461389,India,1762881,20120921,27345191,28268880,21883802,1349982,73441,2198,13/03/2021
45926378,95823614,49885738,12774675,India,9279181,99319107,108598289,95823614,95823614,10046908,67834,11498,13/04/2021
4009812,7710367,3699535,21911,India,786042,6924325,7732278,14895253,7710367,223423,41606,1020,14/02/2021
9983943,22029912,12043761,5480732,India,1769009,20260903,27510644,28407468,22029912,1400793,75269,2208,14/03/2021
47329847,98703696,51361929,13209592,India,9632303,102280984,111913288,98703696,98703696,10786962,69832,11920,14/04/2021
4184377,8111162,3925723,142489,India,825093,7286069,8253651,15517338,8111162,233527,42016,1062,15/02/2021
10931670,24049536,13115456,5852411,India,1887348,22162188,29901947,30481066,24049536,1480573,77238,2410,15/03/2021
48352489,100853671,52488916,13744355,India,9850203,104747822,114598026,100853671,100853671,9771019,66284,12266,15/04/2021
24517,48276,23757,0,India,579,47697,48276,6943622,48276,3455,2957,2,16/01/2021
4291548,8337600,4044967,239626,India,841412,7496188,8577226,16152472,8337600,245131,42859,1085,16/02/2021
11702117,25684134,13979444,6161333,India,2009264,23674870,31845467,32090765,25684134,1551534,79098,2573,16/03/2021
49339504,102927296,53575244,14378048,India,10178643,107126700,117305344,102927296,102927296,9780485,66381,12548,16/04/2021
31252,58604,27348,0,India,635,57969,58604,7119567,58604,8532,4954,4,17/01/2021
4432078,8704698,4271486,318541,India,894555,7810143,9023239,16867476,8704698,256706,43310,1134,17/02/2021
12471427,27299603,14825466,6484692,India,2118298,25181305,33784295,33710122,27299603,1612319,81808,2710,17/03/2021
50289664,104950409,54647827,15020960,India,10555424,109415944,119971369,104950409,104950409,8521217,60057,12918,17/04/2021
58083,99449,41361,0,India,1299,98150,99449,7150780,99449,13611,6583,5,18/01/2021
4351815,8862491,4509554,475776,India,962251,7900240,9338267,16357801,8862491,268275,43734,1122,18/02/2021
13296354,29093763,15794523,6829737,India,2270721,26823042,35923500,35521998,29093763,1671073,85645,2886,18/03/2021
50732172,105896430,55151208,15310668,India,10711610,110495487,121207098,105896430,105896430,8395934,58212,13050,18/04/2021
113613,195525,81901,0,India,3017,192508,195525,7423057,195525,17855,7951,11,19/01/2021
4702310,9523567,4820055,717941,India,1003518,8520049,10241508,17807727,9523567,279055,44167,1202,19/02/2021
14266785,31109369,16839488,7080818,India,2423450,28685919,38190187,37651803,31109369,1748598,90343,3096,19/03/2021
51806475,108178574,56358692,16278588,India,11106751,113350410,124457162,108178574,108178574,10632658,73506,13407,19/04/2021
153145,251280,98111,0,India,3946,247334,251280,7555207,251280,25472,10504,24,20/01/2021
4766532,9734505,4966750,884608,India,1033170,8701335,10619113,18021113,9734505,288334,44791,1223,20/02/2021
15310682,33244339,17930376,7308863,India,2640329,30604010,40553202,39786871,33244339,1823541,93171,3281,20/03/2021
52731510,110165234,57420010,17263653,India,11515707,115913179,127428887,110165234,110165234,10163007,71051,13714,20/04/2021
233143,365965,132784,0,India,5367,360598,365965,7755870,365965,32226,12600,38,21/01/2021
4773924,9757217,4982068,893795,India,1037565,8719652,10651012,18179792,9757217,299726,45120,1225,21/02/2021
15668395,33954019,18282253,7341897,India,2726019,31228000,41295916,40408645,33954019,1887451,95661,3371,21/03/2021
53441979,111673361,58217380,17972744,India,11799916,117846188,129646105,111673361,111673361,9537781,67123,14002,21/04/2021
355402,549381,193899,0,India,8128,541253,549381,8058775,549381,36988,14115,80,22/01/2021
4841511,10069263,5226538,1174416,India,1085940,8983323,11243679,18342215,10069263,312382,45490,1214,22/02/2021
16698587,36082737,19380549,7592002,India,2977493,33105244,43674739,42766076,36082737,1959895,98704,3601,22/03/2021
54355513,113584269,59214377,19170339,India,12176768,120577839,132754608,113584269,113584269,10459336,73933,14379,22/04/2021
491049,759008,267856,0,India,11192,747816,759008,8314768,759008,43076,15605,103,23/01/2021
4897627,10288293,5389434,1309475,India,1120345,9167948,11597768,18402147,10288293,325527,46054,1232,23/02/2021
17860594,38442719,20578314,7824187,India,3304795,35137924,46266906,44958723,38442719,2018346,101134,3811,23/03/2021
55237448,115461202,60208977,20197122,India,12507127,123151196,135658324,115461202,115461202,9772224,68575,14777,23/04/2021
538647,835058,296283,0,India,13156,821902,835058,8443150,835058,49851,18111,128,24/01/2021
4957351,10517568,5558978,1525390,India,1156820,9360748,12042958,18459495,10517568,339617,46671,1239,24/02/2021
18829307,40414580,21581261,7965930,India,3599196,36815384,48380510,46952251,40414580,2076874,103187,4012,24/03/2021
56011474,117105343,61078797,21080613,India,12775153,125410802,138185956,117105343,117105343,8300170,59612,15072,24/04/2021
832766,1277104,444137,0,India,18858,1258246,1277104,8802225,1277104,55151,19682,201,25/01/2021
5045426,10846192,5799474,1972882,India,1204424,9641768,12819074,18523988,10846192,352882,47068,1292,25/02/2021
19793110,42415793,22618412,8134379,India,3855726,38560067,50550172,48965377,42415793,2150505,105650,4271,25/03/2021
56337692,117795008,61442119,21390165,India,12866845,126318327,139185173,117795008,117795008,5844983,41927,15197,25/04/2021
844448,1293784,449119,0,India,19604,1274180,1293784,8884622,1293784,60821,21467,217,26/01/2021
5131299,11141375,6008758,2419557,India,1244235,9897140,13560932,17915124,11141375,357440,47240,1318,26/02/2021
20842900,44551939,23704536,8271738,India,4111710,40440229,52823677,51164359,44551939,2211254,107311,4503,26/03/2021
57335805,119886252,62534884,22638695,India,13127022,129397924,142524947,119886252,119886252,9725885,68905,15563,26/04/2021
1140137,1726490,586081,0,India,27377,1699113,1726490,9119686,1726490,69495,23737,272,27/01/2021
5131323,11141426,6008785,2419557,India,1244235,9897191,13560983,17916598,11141426,357450,47242,1318,27/02/2021
21813991,46506675,24687983,8370005,India,4293429,42213246,54876680,53103210,46506675,2261887,108347,4701,27/03/2021
57980903,121263287,63266613,23615946,India,13362545,131516688,144879233,121263287,121263287,9192384,65370,15771,27/04/2021
1523939,2295491,771229,0,India,36921,2258570,2295491,9420417,2295491,78523,25610,323,28/01/2021
5131373,11141651,6008960,2419557,India,1244273,9897378,13561208,17917681,11141651,367595,48032,1318,28/02/2021
21959477,46803472,24839264,8377403,India,4310791,42492681,55180875,53387713,46803472,2300682,108992,4731,28/03/2021
1875368,2814803,939069,0,India,43604,2771199,2814803,9731289,2814803,83664,26219,366,29/01/2021
22222402,47318251,25091064,8408267,India,4376512,42941739,55726518,53910256,47318251,2344458,109754,4785,29/03/2021
2044950,3067736,1022380,0,India,48300,3019436,3067736,9950757,3067736,87822,26643,406,30/01/2021
22966152,48810624,25839520,8553238,India,4489546,44321078,57363862,55430088,48810624,2433579,112112,4952,30/03/2021
2065391,3127107,1061307,0,India,58890,3068217,3127107,10025789,3127107,91593,27011,409,31/01/2021
23772999,50448857,26670710,8727510,India,4614874,45833983,59176367,57097935,50448857,2550671,115798,5148,31/03/2021
11878,21322,9440,0,Jammu and Kashmir,0,21322,21322,232525,21322,1081,250,4,01/02/2021
202317,655150,452711,159200,Jammu and Kashmir,1705,653445,814350,803400,655150,53653,1426,122,01/04/2021
11900,21352,9448,0,Jammu and Kashmir,0,21352,21352,232657,21352,1203,278,4,02/02/2021
49547,241454,191829,17269,Jammu and Kashmir,1178,240276,258723,399147,241454,9022,713,78,02/03/2021
217043,689834,472665,163975,Jammu and Kashmir,1709,688125,853809,837734,689834,54866,1465,126,02/04/2021
11975,21478,9499,0,Jammu and Kashmir,0,21478,21478,232676,21478,1406,356,4,03/02/2021
49781,243610,193749,17367,Jammu and Kashmir,1189,242421,260977,400480,243610,12250,831,80,03/03/2021
228731,717839,488974,167916,Jammu and Kashmir,1717,716122,885755,867552,717839,56675,1478,134,03/04/2021
14856,27796,12935,0,Jammu and Kashmir,0,27796,27796,236783,27796,1695,384,5,04/02/2021
53550,257976,204346,19208,Jammu and Kashmir,1227,256749,277184,413347,257976,13502,900,80,04/03/2021
256262,764873,508463,161537,Jammu and Kashmir,0,926410,926410,764873,764873,123700,994,148,04/04/2021
17114,33899,16780,0,Jammu and Kashmir,0,33899,33899,241292,33899,1923,402,5,05/02/2021
57779,272803,214941,21756,Jammu and Kashmir,1249,271554,294559,426985,272803,21125,955,83,05/03/2021
272287,799804,527366,165214,Jammu and Kashmir,0,965018,965018,799804,799804,151100,1234,151,05/04/2021
19138,40909,21766,0,Jammu and Kashmir,0,40909,40909,247473,40909,2022,408,5,06/02/2021
63213,288844,225545,25105,Jammu and Kashmir,1260,287584,313949,442597,288844,27290,975,86,06/03/2021
287111,831857,544586,168216,Jammu and Kashmir,0,1000073,1000073,831857,831857,139050,1183,160,06/04/2021
19293,41543,22245,0,Jammu and Kashmir,0,41543,41543,250272,41543,2382,425,5,07/02/2021
63266,289112,225760,25125,Jammu and Kashmir,1260,287852,314237,442810,289112,30859,1053,86,07/03/2021
321876,909465,587413,174198,Jammu and Kashmir,0,1083663,1083663,909465,909465,147750,1244,176,07/04/2021
22078,51872,29785,0,Jammu and Kashmir,4,51868,51872,260990,51872,2619,440,9,08/02/2021
70281,309309,238939,30666,Jammu and Kashmir,1303,308006,339975,462559,309309,32745,1095,89,08/03/2021
360947,994678,633548,182428,Jammu and Kashmir,0,1177106,1177106,994678,994678,170203,1370,183,08/04/2021
24551,63529,38969,0,Jammu and Kashmir,12,63517,63529,272002,63529,2746,443,9,09/02/2021
77793,331895,254012,37394,Jammu and Kashmir,1367,330528,369289,484480,331895,33608,1113,90,09/03/2021
387357,1053587,666037,186812,Jammu and Kashmir,0,1240399,1240399,1053587,1053587,171700,1417,193,09/04/2021
24886,65779,40884,0,Jammu and Kashmir,58,65721,65779,278490,65779,3070,481,9,10/02/2021
78025,333222,255107,37879,Jammu and Kashmir,1396,331826,371101,485330,333222,35154,1131,90,10/03/2021
406597,1095604,688808,190725,Jammu and Kashmir,0,1286329,1286329,1095604,1095604,142250,1212,199,10/04/2021
27807,83295,55476,0,Jammu and Kashmir,72,83223,83295,286407,83295,3397,493,12,11/02/2021
78377,334500,256033,38233,Jammu and Kashmir,1468,333032,372733,486334,334500,35692,1134,90,11/03/2021
422217,1128724,706302,192990,Jammu and Kashmir,0,1321714,1321714,1128724,1128724,169900,1423,205,11/04/2021
30236,100823,70575,0,Jammu and Kashmir,218,100605,100823,303762,100823,3731,510,12,12/02/2021
78624,335917,257203,40735,Jammu and Kashmir,1499,334418,376652,487498,335917,36688,1147,90,12/03/2021
450063,1190462,740183,199609,Jammu and Kashmir,0,1390071,1390071,1190462,1190462,182102,1499,216,12/04/2021
32503,117677,85162,722,Jammu and Kashmir,263,117414,118399,318010,117677,3883,514,12,13/02/2021
87885,362666,274689,56214,Jammu and Kashmir,1506,361160,418880,513471,362666,37210,1164,92,13/03/2021
461685,1217666,755761,202914,Jammu and Kashmir,0,1420580,1420580,1217666,1217666,144250,1256,220,13/04/2021
32621,118293,85660,722,Jammu and Kashmir,279,118014,119015,325077,118293,4291,521,12,14/02/2021
88048,363229,275089,56550,Jammu and Kashmir,1506,361723,419779,513910,363229,37758,1184,92,14/03/2021
474584,1245840,771032,206799,Jammu and Kashmir,0,1452639,1452639,1245840,1245840,176050,1460,224,14/04/2021
34959,134369,99398,1663,Jammu and Kashmir,479,133890,136032,338130,134369,4607,529,12,15/02/2021
97771,390431,292565,70584,Jammu and Kashmir,1527,388904,461015,540800,390431,38590,1215,95,15/03/2021
492963,1285404,792215,214736,Jammu and Kashmir,0,1500140,1500140,1285404,1285404,179200,1470,226,15/04/2021
141,377,236,0,Jammu and Kashmir,0,377,377,113625,377,38,37,0,16/01/2021
36881,148004,111111,2267,Jammu and Kashmir,480,147524,150271,363114,148004,4717,542,12,16/02/2021
107664,416994,309230,83839,Jammu and Kashmir,1549,415445,500833,566025,416994,39128,1226,100,16/03/2021
509377,1322027,812420,222389,Jammu and Kashmir,0,1544416,1544416,1322027,1322027,179408,1484,230,16/04/2021
153,421,268,0,Jammu and Kashmir,0,421,421,158151,421,101,40,0,17/01/2021
37051,148878,111815,2267,Jammu and Kashmir,512,148366,151145,372409,148878,5039,552,12,17/02/2021
108106,418542,310335,84708,Jammu and Kashmir,1578,416964,503250,567287,418542,39769,1248,101,17/03/2021
525472,1358605,832897,230383,Jammu and Kashmir,0,1588988,1588988,1358605,1358605,157750,1381,236,17/04/2021
274,672,398,0,Jammu and Kashmir,0,672,672,155563,672,186,45,0,18/01/2021
38290,163037,124729,3392,Jammu and Kashmir,634,162403,166429,350960,163037,5380,557,18,18/02/2021
118080,445910,327725,97784,Jammu and Kashmir,1586,444324,543694,593928,445910,40451,1263,105,18/03/2021
537439,1386560,848883,235537,Jammu and Kashmir,0,1622097,1622097,1386560,1386560,175508,1468,238,18/04/2021
601,1369,768,0,Jammu and Kashmir,0,1369,1369,166335,1369,242,55,0,19/01/2021
41144,176551,135381,4941,Jammu and Kashmir,727,175824,181492,393734,176551,5676,558,26,19/02/2021
123323,459633,336204,105645,Jammu and Kashmir,1601,458032,565278,607346,459633,40940,1265,106,19/03/2021
561147,1439317,877926,248756,Jammu and Kashmir,0,1688073,1688073,1439317,1439317,181000,1509,244,19/04/2021
601,1369,768,0,Jammu and Kashmir,0,1369,1369,174493,1369,322,76,0,20/01/2021
42965,186097,143103,6258,Jammu and Kashmir,836,185261,192355,394609,186097,5817,566,29,20/02/2021
126909,469881,342865,111101,Jammu and Kashmir,1617,468264,580982,616837,469881,41321,1267,107,20/03/2021
585130,1492291,906912,260658,Jammu and Kashmir,0,1752949,1752949,1492291,1492291,161950,1421,249,20/04/2021
923,2296,1373,0,Jammu and Kashmir,0,2296,2296,184188,2296,412,91,0,21/01/2021
43020,186304,143255,6277,Jammu and Kashmir,839,185465,192581,394938,186304,6243,585,29,21/02/2021
127246,471049,343695,111770,Jammu and Kashmir,1644,469405,582819,617773,471049,42038,1292,108,21/03/2021
602999,1532708,929452,268455,Jammu and Kashmir,0,1801163,1801163,1532708,1532708,175050,1484,257,21/04/2021
1743,3807,2064,0,Jammu and Kashmir,0,3807,3807,192776,3807,500,105,0,22/01/2021
44247,195331,151055,8862,Jammu and Kashmir,885,194446,204193,394974,195331,6521,591,29,22/02/2021
134836,490817,355873,121729,Jammu and Kashmir,1654,489163,612546,637687,490817,42623,1303,108,22/03/2021
622746,1576508,953499,279942,Jammu and Kashmir,0,1856450,1856450,1576508,1576508,183350,1541,263,22/04/2021
2676,5593,2917,0,Jammu and Kashmir,0,5593,5593,199446,5593,544,126,0,23/01/2021
45083,202132,157010,9943,Jammu and Kashmir,1049,201083,212075,395082,202132,6605,591,39,23/02/2021
142514,510709,368085,129882,Jammu and Kashmir,1666,509043,640591,656372,510709,42932,1309,110,23/03/2021
647259,1632265,984732,292261,Jammu and Kashmir,0,1924526,1924526,1632265,1632265,185550,1562,274,23/04/2021
2822,5893,3071,0,Jammu and Kashmir,0,5893,5893,205869,5893,630,155,0,24/01/2021
45103,202749,157607,9953,Jammu and Kashmir,1083,201666,212702,395105,202749,6969,591,39,24/02/2021
142759,511788,368919,131016,Jammu and Kashmir,1670,510118,642804,657200,511788,43643,1334,110,24/03/2021
674843,1691210,1016079,305511,Jammu and Kashmir,0,1996721,1996721,1691210,1691210,165150,1474,288,24/04/2021
5384,10498,5113,0,Jammu and Kashmir,0,10498,10498,220685,10498,649,160,1,25/01/2021
46192,213201,166950,12886,Jammu and Kashmir,1106,212095,226087,395269,213201,7234,592,59,25/02/2021
